Z,AtomicMass,AtomicRadius,BoilingPoint,Density,Electronegativity,IonizationEnergies,MeltingPoint,MolarVolume,Phase,DiscoveryYear,Block,StableIsotopes,HumanAbundance,ElectronAffinity,ThermalConductivity,ElectricalConductivity,MohsHardness
53,0.4277305245063638,0.5140449438202248,0.6920415077417803,0.5859917078643,0.30182926829268286,0.3481727926745153,0.6765897289151882,0.5952041674080367,0.75,0.48903614457831446,0.5625,0.,0.3289223124393383,0.11561604584527219,0.7492231504548212,0.7499999999999988,-1
54,0.41649678151687797,0.5337078651685394,0.7294204704915488,0.7498071008259568,0.31554878048780477,0.2875400496047762,0.7209895146936054,0.0021903775995578134,0.,0.22354838709677471,0.5625,0.6666666666666666,-1,0.75,0.749996441830593,-1,-1
55,0.41236923306044543,0.,0.6298029132487514,0.6876189383330038,0.7294207317073169,0.75,0.6933769827310102,0.5064095339056699,0.75,0.3340662650602422,0.75,0.,0.3796482690713001,0.6522206303724929,0.6872150717358347,0.6895161290322581,0.75
56,0.4010509704597456,0.1264044943820225,0.47647627507915685,0.6334686564334755,0.7065548780487804,0.6313233058057004,0.5558341252881228,0.5583232187893126,0.75,0.4985240963855433,0.75,0.49999999999999994,0.31998991486921236,0.7200214899713467,0.7186106841501623,0.7149193548387097,0.6634615384615384
57,0.3970104087462302,-1,0.2726375250855508,0.5459517078821841,0.6585365853658536,0.6037895872227623,0.5180303165543929,0.6064326761499588,0.75,0.4004819277108447,0.,0.,-1,0.6468481375358166,0.7273316875985865,0.7306451612903225,0.5604395604395604
58,0.39391169849449165,-1,0.28593691655313863,0.5279237476912313,0.6539634146341462,0.6065976931147121,0.541854591850129,0.6130943537484664,0.75,0.5143373493975913,0.,0.25,-1,0.6425501432664756,0.7308200889779563,0.7330645161290322,0.5604395604395604
59,0.39188523572959627,0.1432584269662922,0.2948884300409382,0.5295505801946506,0.6516768292682926,0.6122727080372843,0.5156675785085347,0.6119558298773534,0.75,0.255,0.,0.,-1,0.6425501432664756,0.7273316875985865,0.7330645161290322,0.6506416083085396
60,0.383349978835604,0.2584269662921349,0.31918539522210826,0.5172663347606682,0.6493902439024389,0.6075889426982908,0.4979470431645988,0.6146593951241572,0.75,0.255,0.,0.3333333333333333,-1,0.6425501432664756,0.7203548848398471,0.7306451612903225,0.6647310937981344
61,0.38140965321722375,0.2612359550561798,0.3319732716332504,0.5088333662735558,-1,0.6023550813217136,0.48239235102936623,0.6173203210704346,0.75,0.12973790322580703,0.,-1,-1,0.6425501432664756,0.7238432862192168,0.7342741935483871,-1
62,0.36768914488672494,0.1685393258426967,0.4850441522746221,0.505878507236733,0.6425304878048779,0.5989776013334374,0.4879054064697018,0.6152056416533774,0.75,0.2739759036144589,0.,0.3333333333333333,-1,0.6425501432664756,0.7273316875985865,0.7366935483870968,0.6476754008370459
